Pitcher Name ,Team,AVG,HH%,ERA,HR,XBH,FIP,K/9
Logan Henderson,MIL,0.266,0.49350000000000005,4.04,2.0,0.7,3.495,14.3
Kyle Leahy,STL,0.285,0.42700000000000005,4.32,1.4,2.5,4.975,7.25
Logan Gilbert,SEA,0.255,0.397,3.7300000000000004,1.4,3.8,3.855,9.15
Tomoyuki Sugano,COL,0.242,0.397,4.085,2.0,3.3,5.715,5.25
Trevor McDonald,SFG,0.249,0.39149999999999996,3.68,2.1,0.7,4.95,9.15
Kai-Wei Teng,HOU,0.210,0.389,3.1799999999999997,1.1,1.2,3.9000000000000004,7.95
Eduardo Rodriguez,ARI,0.211,0.3735,2.5700000000000003,0.8,2.3,4.025,6.5
Bubba Chandler,PIT,0.208,0.36650000000000005,4.57,1.4,2.5,5.5,7.9
Jameson Taillon,CHC,0.214,0.36650000000000005,4.01,2.2,2.8,5.71,7.9
Chris Paddack,MIA,0.309,0.3625,7.790000000000001,1.8,2.3,4.895,8.05
José Soriano,LAA,0.191,0.35950000000000004,1.7100000000000002,0.9,1.2,3.1950000000000003,10.2
Luis Severino,ATH,0.246,0.35750000000000004,3.87,1.0,2.3,4.470000000000001,8.399999999999999
Connor Prielipp,MIN,0.185,0.3575,3.5,1.6,1.0,5.02,7.9
Noah Cameron,KCR,0.298,0.3494999999999999,7.375,2.0,3.0,5.095,8.25
Carlos Rodón,NYY,0.217,0.3395,6.375,0.0,0.0,4.35,7.9
Jacob deGrom,TEX,0.219,0.3365,2.08,1.1,2.0,2.3600000000000003,12.2
Bryce Elder,ATL,0.199,0.328,1.87,0.4,1.3,2.715,8.75
Justin Wrobleski,LAD,0.221,0.3275,2.84,0.9,1.3,4.33,4.800000000000001
Cristopher Sánchez,PHI,0.229,0.323,2.77,0.5,2.3,2.08,11.05
Davis Martin,CHW,0.230,0.32,1.595,0.3,2.5,2.065,10.05
Joey Cantillo,CLE,0.235,0.3195,2.2649999999999997,1.0,2.5,3.87,7.45
Walker Buehler,SDP,0.254,0.3135,5.205,0.8,1.5,3.63,7.7
Chris Bassitt,BAL,0.312,0.2895,5.045,0.7,1.3,4.525,6.15
Sandy Alcantara,MIA,0.238,0.2895,3.915,0.6,3.0,3.6849999999999996,6.1
Casey Mize,DET,0.248,0.2835,3.62,0.9,2.0,3.305,10.35
Cade Cavalli,WSN,0.275,0.2825,4.04,0.3,1.8,3.175,9.85
Nick Martinez,TBR,0.223,0.27149999999999996,1.795,0.6,2.0,3.325,6
Payton Tolle,BOS,0.207,0.26949999999999996,2.99,1.1,0.7,3.16,10.5
Mason Fluharty,TOR,0.255,0.218,6.835000000000001,0.8,0.5,3.2300000000000004,11
Huascar Brazobán,NYM,0.166,0.2145,2.12,0.4,0.7,3.5,6.65
