Name,Tm,OppTeam,1B,2B,3B,HR,H,R,RBI,HpRR,TBAv,XBH,14D,TBVol,AAvg,vOBA,xSABER,xSTAT,uLK,xRC,OVR,OppPitcher,Opp_rXBH,Opp_rAVG,Opp_rHR,Opp_rERA,Date Today
Tyler Black,MIL,NYY,0.6,0.5,0.0,0.0,1.125,0.3,0.9,2.25,1.625,0.125,0.000,1.625,0.1875,0.27,0.11,0.6,0.4005,0.75,0.06725555555555551,Cam Schlittler,,0,0,0,2026-05-09 00:00:00
Bryce Johnson,SDP,STL,0.2,0.2,0.0,0.0,0.3846153846153846,0.3,0.1,0.7692307692307692,0.5384615384615387,0.3076923076923077,0.000,0.8545115384615387,0.314,0.87625,0.52,0.9,0.395,0.313,0.21702055555555555,Dustin May,1.0769230769230769,0.315,0.6,5.18,2026-05-09 00:00:00
James McCann,ARI,NYM,0.3,0.1,0.0,0.0,0.4285714285714285,0.1,0.3,0.7857142857142856,0.5714285714285713,0.07142857142857141,0.000,0.7261285714285712,0.199,0.8209500000000001,0.27,0.6,0.33686,0.11953846153846154,0.02597888034188034,Clay Holmes,0.14285714285714285,0.176,0.5,1.4,2026-05-09 00:00:00
Dane Myers,CIN,HOU,0.4,0.0,0.0,0.0,0.4444444444444444,0.3,0.2,0.9444444444444444,0.4444444444444444,0,0.000,0.4444444444444444,0.2105,1.2947,0.23,0.6,0.33521999999999996,1.8243333333333331,0.5296642222222223,Spencer Arrighetti,,0,0,0,2026-05-09 00:00:00
Brandon Lockridge,MIL,NYY,0.6,0.1,0.0,0.0,0.7272727272727273,0.2,0.4,1.3181818181818181,0.8636363636363638,0.0340909090909091,0.000,0.8636363636363638,0.157,0.3951,0.16,0.5,0.32504,0.49342857142857144,0.051659333333333335,Cam Schlittler,,0,0,0,2026-05-09 00:00:00
Brandon Marsh,PHI,COL,0.4,0.0,0.1,0.0,0.4444444444444444,0.2,0.2,0.8333333333333334,0.5555555555555556,0.1638888888888889,0.415,0.8852555555555555,0.301,0.82795,0.52,0.9,0.30792,0.308,0.2903858888888889,Kyle Freeland,0.6,0.294,0,4.15,2026-05-09 00:00:00
Taylor Trammell,HOU,CIN,0.7,0.1,0.0,0.0,0.8,0.3,0.4,1.5,0.8999999999999999,0.16785714285714284,0.000,1.11665,0.27025,1.1366,0.59,0.8,0.30494,0.522,0.36408266666666667,Chase Burns,0.5714285714285714,0.1925,1.1,2.125,2026-05-09 00:00:00
Joey Loperfido,HOU,CIN,0.5,0.3,0.0,0.0,0.75,0.3,0.3,1.35,1,0.20535714285714285,0.000,1.21665,0.24925,0.9863,0.48,0.8,0.30282,0.374,0.272966888888889,Chase Burns,0.5714285714285714,0.1925,1.1,2.125,2026-05-09 00:00:00
Joey Wiemer,WSN,MIA,0.4,0.0,0.0,0.0,0.3529411764705883,0.3,0.1,0.7058823529411765,0.3529411764705883,0.07142857142857142,0.000,0.5020411764705883,0.185,0.70025,0.34,0.5,0.29194,0.15857142857142859,0.08003055555555555,Janson Junk,0.2857142857142857,0.148,0.5,1,2026-05-09 00:00:00
Starling Marte,KCR,DET,0.2,0.2,0.0,0.0,0.4444444444444444,0.1,0.0,0.5555555555555556,0.6666666666666666,0.05555555555555555,0.000,0.6666666666666666,0.182,0.14595,0.31,0.6,0.29000000000000004,0.4853333333333333,0.16670588888888888,Burch Smith,,0,0,0,2026-05-09 00:00:00
Austin Martin,MIN,CLE,0.6,0.1,0.0,0.0,0.6521739130434783,0.1,0.2,0.9130434782608695,0.7391304347826086,0.1779891304347826,0.314,1.0191304347826087,0.32799999999999996,1.3515,0.51,0.9,0.289,0.8143333333333334,0.48182555555555556,Tanner Bibee,0.625,0.307,0.5,5.4,2026-05-09 00:00:00
Yohendrick Pinango,TOR,LAA,1.0,0.0,0.0,0.0,1,0.1,0.4,1.5555555555555556,1,0.10714285714285714,0.000,1.1806,0.3105,1.513975,0.52,0.8,0.28234,2.145,0.860237388888889,Jack Kochanowicz,0.42857142857142855,0.192,0.4,3.03,2026-05-09 00:00:00
MJ Melendez,NYM,ARI,0.4,0.2,0.1,0.1,0.7222222222222222,0.2,0.3,1.2777777777777777,1.3333333333333335,0.08333333333333334,0.296,1.3333333333333335,0.1475,0.25844999999999996,0.29,0.6,0.28034,0.2786111111111111,0.10412255555555561,Merrill Kelly,,0,0,0,2026-05-09 00:00:00
Christian Yelich,MIL,NYY,0.5,0.1,0.0,0.1,0.7333333333333333,0.6,0.5,1.7999999999999998,1.0666666666666667,0.04999999999999999,0.000,1.0666666666666667,0.162,0.46325,0.19,0.6,0.27638,0.6075,0.16995944444444444,Cam Schlittler,,0,0,0,2026-05-09 00:00:00
Billy Cook,PIT,SFG,0.3,0.0,0.0,0.0,0.25,0.1,0.0,0.375,0.25,0.10714285714285714,0.000,0.41625,0.2355,0.9091750000000001,0.40,0.6,0.26,0.286,0.21385272222222224,Landen Roupp,0.42857142857142855,0.185,0.2,3.055,2026-05-09 00:00:00
Troy Johnston,COL,PHI,0.7,0.3,0.0,0.1,1.0625,0.3,0.5,1.875,1.5625,0.34375,0.364,1.8908,0.322,1.1927249999999998,0.60,1.0,0.25722,0.6193846153846153,0.5167711923076922,Aaron Nola,1,0.278,1.45,5.07,2026-05-09 00:00:00
Austin Riley,ATL,LAD,0.5,0.1,0.0,0.0,0.625,0.3,0.4,1.2916666666666667,0.8749999999999999,0.041666666666666664,0.200,0.8749999999999999,0.1595,0.4636,0.24,0.5,0.25589999999999996,0.5153076923076924,0.17597993162393166,Blake Snell,,0,0,0,2026-05-09 00:00:00
Trevor Larnach,MIN,CLE,0.6,0.2,0.0,0.0,0.7931034482758621,0.4,0.3,1.5172413793103448,1.0689655172413792,0.2634698275862069,0.289,1.3689155172413792,0.29300000000000004,1.8010000000000002,0.45,0.9,0.2549,0.7678125,0.5126197222222222,Tanner Bibee,0.8125,0.271,1.3,4.63,2026-05-09 00:00:00
Javier Sanoja,MIA,WSN,0.5,0.1,0.0,0.0,0.6,0.1,0.3,0.96,0.68,0.3057142857142857,0.000,1.1007,0.29825,1.41095,0.45,0.9,0.24819999999999998,0.8571428571428571,0.5127347777777777,Zack Littell,1.1428571428571428,0.2965,3.6,7.225,2026-05-09 00:00:00
